Date,Airline,Number,From,To,Miles
6/20/15,MALAYSIA,389,PVG,KUL,
6/20/15,MALAYSIA,179,KUL,CMB,
6/21/15,QATAR,657,CMB,DOH,
6/22/15,QATAR,727,DOH,PHL,
6/22/15,US AIRWAY,3974,PHL,BNA,
7/2/15,AMERICAN,4378,BNA,ORD,
7/2/15,QATAR,722,ORD,DOH,
7/3/15,QATAR,668,DOH,CMB,
7/4/15,QATAR,669,CMB,DOH,
7/4/15,QATAR,721,DOH,ORD,
7/4/15,QATAR,5140,ORD,BNA,
7/30/15,AMERICAN,2259,BNA,DFW,
8/2/15,AMERICAN,2501,DFW,BNA,
9/23/15,AMERICAN,1191,BNA,DFW,
9/28/15,SOUTHWEST,2965,BNA,MSY,
10/3/15,SOUTHWEST,3626,MSY,BNA,
11/23/15,AMERICAN,4997,BNA,CLT,
11/23/15,AMERICAN,725,CLT,MCO,
11/26/15,SOUTHWEST,4084,MCO,BNA,
12/18/15,SOUTHWEST,268,BNA,LGA,
12/28/15,SOUTHWEST,826,EWR,BNA,
3/5/16,SOUTHWEST,1507,BNA,AUS,
3/9/16,SOUTHWEST,471,AUS,BNA,
3/27/16,SOUTHWEST,491,BNA,DCA,
4/7/16,SOUTHWEST,448,BNA,RDU,
4/10/16,SOUTHWEST,4306,RDU,BNA,
5/7/16,AMERICAN,2242,BNA,DFW,
5/9/16,EMIRATE,222,DFW,DXB,
5/13/16,EMIRATE,652,DXB,MRU,
5/19/16,TURKISH,161,MRU,IST,
5/20/16,TURKISH,1889,IST,VIE,
5/24/16,HG,8318,VIE,CDG,
5/27/16,BRITISH,8003,ORY,EWR,
6/27/16,SOUTHWEST,1373,EWR,MCO,
6/27/16,SOUTHWEST,3422,MCO,BNA,
6/30/16,SOUTHWEST,815,BNA,LAS,
6/30/16,SOUTHWEST,3435,LAS,ABQ,
7/4/16,SOUTHWEST,5843,ABQ,PHX,
7/4/16,SOUTHWEST,1794,PHX,BNA,
9/22/16,AMERICAN,2348,BNA,DFW,
9/22/16,AMERICAN,127,DFW,PVG,
9/28/16,JAL,876,PVG,NRT,
10/5/16,AMERICAN,154,NRT,ORD,
10/5/16,AMERICAN,3537,ORD,BNA,
10/7/16,SOUTHWEST,627,BNA,MDW,
